scenario_id,domain,surfaces,slots,status,failure_codes,baseline,timestamp,pipeline_version
ACTIVITY-001,Activity,L21-EVD-R,"SLOT-ACT-EX-AR-O2,SLOT-ACT-EX-RD-O5",PASS,,true,2026-01-09T05:10:06.465849+00:00,1.0.0
INCIDENTS-001,Incidents,L21-EVD-R,"SLOT-INC-AI-OI-O2,SLOT-INC-AI-ID-O3",PASS,,true,2026-01-09T05:10:06.465932+00:00,1.0.0
POLICIES-001,Policies,L21-EVD-R,"SLOT-POL-AP-BP-O2,SLOT-POL-AP-BP-O3",PASS,,true,2026-01-09T05:10:06.466000+00:00,1.0.0
LOGS-001,Logs,L21-EVD-R,"SLOT-LOG-ET-TD-O2,SLOT-LOG-ET-TD-O5",PASS,,true,2026-01-09T05:10:06.466267+00:00,1.0.0
ACTIVITY-NEG-001,Activity,L21-EVD-R,SLOT-ACT-EX-AR-O2,FAIL,SL-04,false,2026-01-09T05:10:06.466347+00:00,1.0.0
INCIDENTS-NEG-001,Incidents,L21-EVD-R,"SLOT-INC-AI-OI-O2,SLOT-INC-AI-ID-O3",FAIL,SL-04,false,2026-01-09T05:10:06.466410+00:00,1.0.0
POLICIES-NEG-001,Policies,L21-EVD-R,"SLOT-POL-AP-BP-O2,SLOT-POL-AP-BP-O3",FAIL,SL-04,false,2026-01-09T05:10:06.466467+00:00,1.0.0
LOGS-NEG-001,Logs,L21-EVD-R,"SLOT-LOG-ET-TD-O2,SLOT-LOG-ET-TD-O5",FAIL,SL-04,false,2026-01-09T05:10:06.466632+00:00,1.0.0
ACTIVITY-001,Activity,L21-EVD-R,"SLOT-ACT-EX-AR-O2,SLOT-ACT-EX-RD-O5",PASS,,true,2026-01-09T05:38:27.538106+00:00,1.0.0
INCIDENTS-001,Incidents,L21-EVD-R,"SLOT-INC-AI-OI-O2,SLOT-INC-AI-ID-O3",PASS,,true,2026-01-09T05:38:27.538205+00:00,1.0.0
POLICIES-001,Policies,L21-EVD-R,"SLOT-POL-AP-BP-O2,SLOT-POL-AP-BP-O3",PASS,,true,2026-01-09T05:38:27.538267+00:00,1.0.0
LOGS-001,Logs,L21-EVD-R,"SLOT-LOG-ET-TD-O2,SLOT-LOG-ET-TD-O5",PASS,,true,2026-01-09T05:38:27.538505+00:00,1.0.0
ACTIVITY-NEG-001,Activity,L21-EVD-R,SLOT-ACT-EX-AR-O2,FAIL,SL-04,false,2026-01-09T05:38:27.538596+00:00,1.0.0
INCIDENTS-NEG-001,Incidents,L21-EVD-R,"SLOT-INC-AI-OI-O2,SLOT-INC-AI-ID-O3",FAIL,SL-04,false,2026-01-09T05:38:27.538657+00:00,1.0.0
POLICIES-NEG-001,Policies,L21-EVD-R,"SLOT-POL-AP-BP-O2,SLOT-POL-AP-BP-O3",FAIL,SL-04,false,2026-01-09T05:38:27.538742+00:00,1.0.0
LOGS-NEG-001,Logs,L21-EVD-R,"SLOT-LOG-ET-TD-O2,SLOT-LOG-ET-TD-O5",FAIL,SL-04,false,2026-01-09T05:38:27.538865+00:00,1.0.0
ACTIVITY-001,Activity,L21-EVD-R,"SLOT-ACT-EX-AR-O2,SLOT-ACT-EX-RD-O5",PASS,,true,2026-01-09T05:38:32.377046+00:00,1.0.0
INCIDENTS-001,Incidents,L21-EVD-R,"SLOT-INC-AI-OI-O2,SLOT-INC-AI-ID-O3",PASS,,true,2026-01-09T05:38:32.377120+00:00,1.0.0
POLICIES-001,Policies,L21-EVD-R,"SLOT-POL-AP-BP-O2,SLOT-POL-AP-BP-O3",PASS,,true,2026-01-09T05:38:32.377183+00:00,1.0.0
LOGS-001,Logs,L21-EVD-R,"SLOT-LOG-ET-TD-O2,SLOT-LOG-ET-TD-O5",PASS,,true,2026-01-09T05:38:32.377425+00:00,1.0.0
ACTIVITY-NEG-001,Activity,L21-EVD-R,SLOT-ACT-EX-AR-O2,FAIL,SL-04,false,2026-01-09T05:38:32.377502+00:00,1.0.0
INCIDENTS-NEG-001,Incidents,L21-EVD-R,"SLOT-INC-AI-OI-O2,SLOT-INC-AI-ID-O3",FAIL,SL-04,false,2026-01-09T05:38:32.377560+00:00,1.0.0
POLICIES-NEG-001,Policies,L21-EVD-R,"SLOT-POL-AP-BP-O2,SLOT-POL-AP-BP-O3",FAIL,SL-04,false,2026-01-09T05:38:32.377614+00:00,1.0.0
LOGS-NEG-001,Logs,L21-EVD-R,"SLOT-LOG-ET-TD-O2,SLOT-LOG-ET-TD-O5",FAIL,SL-04,false,2026-01-09T05:38:32.377723+00:00,1.0.0
